"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-11",,,"461","7","0",",7","11",",7","5",",7","10",",7","2",",7","0",",7","21",",7","12",",7","0",",7","0",",7","2",",7,21,","4",",,7,25,","3.5",",,7,25,","0.78",",,7,24,","59",",7,04,","1745","7","1066",",7","1.54",",,,7","5.8",",,,7","29.4",",7","37.8",",,,7","21.1",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-12",,,"461","7","0",",7","5",",7","3",",7","0",",7","0",",7","1",",7","26",",7","11",",7","0",",7","0",",7","-3",",7,31,","0",",T,7,22,+","0.0",",T,7,22,+","0.51",",,7,23,","46",",7,27,+","2876","7","1131",",7","1.05",",,,7","0.0",",T,,7","28.5",",7","34.3",",,,7","22.7",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-01",,,"0","7","0",",7","8",",7","5",",7","20",",7","5",",7","9",",7","30",",7","21",",7","0",",7","0",",7","-12",",7,06,","4",",,7,11,+","2.0",",,7,09,+","0.14",",,7,06,","42",",7,19,","4319","7","1443",",7","0.70",",,,7","8.7",",,,7","18.4",",7","25.9",",,,7","11.0",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-02",,,"0","7","0",",7","4",",7","4",",7","28",",7","4",",7","16",",7","28",",7","25",",7","0",",7","0",",7","-14",",7,28,+","10",",,7,01,","9.5",",,7,01,","0.85",",,7,01,","39",",7,08,","5844","7","1525",",7","1.88",",,,7","20.6",",,,7","10.5",",7","21.1",",,,7","0.0",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-03",,,"0","7","0",",7","4",",7","4",",7","13",",7","2",",7","2",",7","27",",7","6",",7","1",",7","0",",7","-7",",7,05,","7",",,7,03,","6.0",",,7,23,","0.37",",,7,23,","75",",7,17,","6850","7","1005",",7","0.91",",,,7","7.0",",,,7","32.6",",7","44.2",",,,7","20.9",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-04",,,"0","7","0",",7","11",",7","8",",7","0",",7","0",",7","0",",7","12",",7","0",",7","7",",7","0",",7","25",",7,24,","0",",,7,30,+","0.0",",,7,30,+","0.96",",,7,09,","80",",7,18,","7354","7","504",",7","3.65",",,,7","0.0",",,,7","48.2",",7","61.2",",,,7","35.2",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-05",,,"39","7","39","1,7","15","2,7","11","2,7",,,,,"0","1,7","0","1,7","0","1,7","18","1,7","0","1,7","35","1,7,13,",,,,,"1.03","2,,7,18,","82","1,7,08,","7555","7","201","1,7","4.05",",a,,7",,,"59.6","1,7","69.8","1,,,7","49.4","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-06",,,"105","7","66",",7","13","2,7","7","2,7",,,,,"0",",7","0",",7","0",",7","26",",7","0",",7","37",",7,02,",,,,,"1.95","2,,7,12,","87",",7,10,","7600","7","45",",7","3.72",",a,,7",,,"65.7",",7","76.2",",,,7","55.2",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-07",,,"252","7","147","1,7","7","2,7","5","2,7",,,,,"0","1,7","0","1,7","0","1,7","28","1,7","0","1,7","46","1,7,02,",,,,,"1.65","2,,7,07,","87","1,7,18,","23","7","23","1,7","4.68",",a,,7",,,"69.1","1,7","79.6","1,,,7","58.6","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-08",,,"397","7","145",",7","6",",7","3",",7",,,,,"0",",7","0",",7","0",",7","25",",7","1",",7","51",",7,27,+",,,,,"1.97",",,7,29,","92",",7,15,","48","7","25",",7","4.30",",,,7",,,"68.9",",7","78.4",",,,7","59.4",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-09",,,"518","7","121","1,7","10",",7","7",",7",,,,,"0","1,7","0","1,7","0",",7","26",",7","2",",7","43","1,7,30,+",,,,,"2.34",",,7,18,","90",",7,07,+","103","7","55",",7","6.11",",,,7",,,"67.2","1,7","78.2",",,,7","56.1","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-10",,,"523","7","4","1,7","6","2,7","3","2,7","0",",7","0",",7","0","1,7","2","1,7","0","1,7","7","1,7","0","1,7","26","1,7,18,","0",",,7,31,+","0.0",",,7,31,+","1.39","2,,7,28,","80","1,7,12,","492","7","388","1,7","2.46",",a,,7","0.0",",,,7","52.2","1,7","62.9","1,,,7","41.5","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-11",,,"523","7","0",",7","12",",7","7",",7","5",",7","0","2,7","0",",7","16",",7","3",",7","3",",7","0",",7","7",",7,22,","7",",,7,21,","0.0","2,,7,30,+","1.52",",,7,27,","74",",7,04,+","1188","7","696",",7","5.25",",,,7","0.0","2,,,7","41.8",",7","51.1",",,,7","32.5",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2015-12",,,"523","7","0",",7","10",",7","6",",7","3",",7","1",",7","0",",7","23",",7","4",",7","0",",7","0",",7","12",",7,19,","6",",,7,30,+","5.0",",,7,29,","2.14",",,7,14,","60",",7,14,","2107","7","918",",7","4.52",",,,7","5.3",",,,7","35.4",",7","41.6",",,,7","29.1",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-01",,,"0","7","0",",7","6",",7","3",",7","31",",7","2",",7","8",",7","31",",7","21",",7","0",",7","0",",7","-9",",7,18,","6",",,7,27,+","4.0",",,7,26,","0.42",",,7,09,","43",",7,31,","3529","7","1422",",7","0.90",",,,7","5.0",",,,7","19.1",",7","26.3",",,,7","11.9",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-02",,,"0","7","0","1,7","8","2,7","2","2,7","19",",7","1",",7","3","1,7","26","1,7","12","1,7","0","1,7","0","1,7","-3","1,7,13,","4",",,7,18,+","3.0",",,7,15,","0.41","2,,7,03,","59","1,7,29,","4584","7","1055","1,7","0.69",",a,,7","3.9",",,,7","27.3","1,7","35.0","1,,,7","19.7","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-03",,,"0","7","0",",7","12",",7","8",",7","4",",7","2",",7","0",",7","19",",7","4",",7","1",",7","0",",7","1",",7,02,","4",",,7,02,","2.0",",,7,01,","1.35",",,7,16,","70",",7,09,","5381","7","797",",7","3.88",",,,7","3.8",",,,7","39.3",",7","49.0",",,,7","29.7",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-04",,,"0","7","0","1,7","9",",7","6",",7","1",",7","0",",7","0","1,7","10","1,7","0","1,7","9","1,7","0","1,7","19","1,7,05,","1",",,7,02,","0.8",",,7,02,","0.66",",,7,06,","81","1,7,18,","5916","7","536","1,7","2.13",",,,7","0.8",",,,7","46.5","1,7","57.6","1,,,7","35.4","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-05",,,"44","7","44",",7","13",",7","10",",7",,,,,"0",",7","1",",7","0",",7","15",",7","0",",7","29",",7,15,",,,,,"0.69",",,7,01,","84",",7,07,","6174","7","258",",7","3.13",",,,7",,,"58.1",",7","70.1",",,,7","46.1",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-06",,,"167","7","123","1,7","11","2,7","5","2,7",,,,,"0","1,7","0","1,7","0","1,7","27","1,7","0","1,7","46","1,7,08,",,,,,"2.75","2,,7,26,","89","1,7,26,+","6202","7","27","1,7","5.75",",a,,7",,,"68.3","1,7","79.4","1,,,7","57.3","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-07",,,"366","7","199","2,7","9",",7","7",",7",,,,,"0","2,7","0","2,7","0","2,7","28","2,7","1","2,7","50","2,7,16,+",,,,,"3.80",",,7,22,","90","2,7,25,","11","7","11","2,7","7.87",",,,7",,,"71.5","2,7","81.1","2,,,7","61.8","2,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-08",,,"564","7","198","2,7","13",",7","8",",7",,,,,"0","2,7","0","2,7","0","1,7","30","1,7","0","1,7","52","2,7,22,",,,,,"1.28",",,7,05,","87","1,7,05,+","14","7","3","1,7","5.56",",,,7",,,"71.6","2,7","80.7","1,,,7","62.4","2,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-09",,,"641","7","77","2,7","13","2,7","9","2,7",,,,,"0","2,7","0","2,7","0","1,7","25","1,7","0","1,7","47","2,7,28,+",,,,,"1.44","2,,7,20,","88","1,7,07,","61","7","47","1,7","5.40",",a,,7",,,"66.1","2,7","75.6","1,,,7","56.6","2,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-10",,,"650","7","9","2,7","10","2,7","5","2,7","0","1,7","0","1,7","0","2,7","4","2,7","0","2,7","8","2,7","0","2,7","30","2,7,25,+","0","1,,7,31,+","0.0","1,,7,31,+","1.96","2,,7,26,","80","2,7,18,","417","7","356","2,7","4.66",",a,,7","0.0","1,,,7","53.0","2,7","62.8","2,,,7","43.3","2,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-11",,,"650","7","0",",7","7",",7","4",",7","0",",7","0",",7","0",",7","11",",7","1",",7","5",",7","0",",7","17",",7,21,","0",",,7,30,+","0.0",",,7,30,+","0.91",",,7,28,","75",",7,02,","1032","7","615",",7","2.17",",,,7","0.0",",,,7","44.5",",7","55.2",",,,7","33.8",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2016-12",,,"650","7","0","1,7","11",",7","8",",7","28",",7","7",",7","5",",7","29",",7","17","1,7","0","1,7","0","1,7","-10",",7,19,","10",",,7,18,","3.7",",,7,17,","0.43",",,7,26,","44","1,7,26,","2286","7","1254","1,7","1.97",",,,7","16.2",",,,7","22.8","1,7","29.2","1,,,7","16.3",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-01",,,"0","7","0",",7","12",",7","9",",7","20",",7","2",",7","5",",7","29",",7","12",",7","0",",7","0",",7","-6",",7,08,+","5",",,7,31,","3.0",",,7,25,","0.56",",,7,17,","45",",7,23,+","3615","7","1328",",7","3.01",",,,7","5.2",",,,7","22.2",",7","29.1",",,,7","15.2",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-02",,,,,,,"7","2,7","5","2,7","15",",7","1",",7",,,,,,,,,,,,,"5",",,7,05,+","1.5",",,7,25,","0.87","2,,7,24,",,,,,,,"1.93",",a,,7","2.1",",,,7",,,,,,,,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-03",,,,,"0","2,7","13",",7","11",",7","8",",7","2",",7","0","2,7","19","2,7","7",",7","0",",7","0",",7","9","2,7,15,","4",",,7,14,+","3.5",",,7,13,","0.85",",,7,25,","64",",7,25,",,,"876",",7","3.87",",,,7","6.8",",,,7","34.5","2,7","43.3",",,,7","25.6","2,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-04",,,,,"4",",7","15",",7","13",",7","0",",7","0",",7","0",",7","5",",7","0",",7","10",",7","0",",7","27",",7,01,","0",",,7,30,+","0.0",",,7,30,+","0.96",",,7,27,","77",",7,16,",,,"445",",7","4.63",",,,7","0.0",",,,7","50.3",",7","61.1",",,,7","39.5",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-05",,,,,"14","1,7","16","2,7","10","2,7",,,,,"0","1,7","3","1,7","0","1,7","12","1,7","0","1,7","29","1,7,03,",,,,,"0.76","2,,7,21,","85","1,7,17,",,,"298","1,7","4.04",",a,,7",,,"55.5","1,7","66.2","1,,,7","44.9","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-06",,,,,"137","2,7","14",",7","8",",7",,,,,"0","1,7","0","1,7","0","1,7","26","1,7","2","1,7","43","1,7,01,",,,,,"2.50",",,7,17,","90","1,7,13,+",,,"42","1,7","7.92",",,,7",,,"68.4","2,7","79.4","1,,,7","57.4","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-07",,,,,"175","1,7","11",",7","9",",7",,,,,"0","1,7","0","1,7","0","1,7","30","1,7","0","1,7","51","1,7,25,",,,,,"3.35",",,7,10,","88","1,7,07,","5","7","5","1,7","10.49",",,,7",,,"70.7","1,7","80.7","1,,,7","60.6","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-08",,,,,"68","3,7","12",",7","5",",7",,,,,"0","3,7","0","3,7","0","2,7","27","2,7","0","2,7","43","3,7,25,",,,,,"1.48",",,7,17,","85","2,7,03,","32","7","26","2,7","2.70",",,,7",,,"66.6","3,7","76.9","2,,,7","56.3","3,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-09",,,,,"105",",7","6",",7","1",",7",,,,,"0",",7","0",",7","0",",7","23",",7","3",",7","39",",7,30,",,,,,"0.69",",,7,21,","92",",7,24,","148","7","116",",7","0.85",",,,7",,,"64.6",",7","77.0",",,,7","52.3",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-10",,,,,"9",",7","16",",7","10",",7","0",",7","0",",7","0",",7","2",",7","0",",7","10",",7","0",",7","25",",7,29,","0",",,7,31,+","0.0",",,7,31,+","0.94",",,7,11,","80",",7,03,","521","7","373",",7","4.52",",,,7","0.0",",,,7","53.2",",7","62.8",",,,7","43.6",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-11",,,,,"0",",7","7",",7","4",",7","0",",7","0",",7","0",",7","24",",7","1",",7","0",",7","0",",7","12",",7,10,","0",",,7,30,+","0.2",",,7,18,","0.31",",,7,04,","65",",7,25,","1403","7","882",",7","0.99",",,,7","0.2",",,,7","35.6",",7","44.5",",,,7","26.7",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2017-12",,,,,"0",",7","10",",7","2",",7","10",",7","0",",7","5",",7","30",",7","16",",7","0",",7","0",",7","-10",",7,27,","2",",,7,31,+","0.8",",,7,11,","0.23",",,7,05,","61",",7,05,","2693","7","1290",",7","0.58",",,,7","3.2",",,,7","23.4",",7","31.2",",,,7","15.5",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-01",,,"0","7","0",",7","8",",7","4",",7","19",",7","4",",7","9",",7","30",",7","19",",7","0",",7","0",",7","-13",",7,01,","5",",,7,16,","2.6",",,7,15,","0.93",",,7,22,","50",",7,21,+","4107","7","1413",",7","1.91",",,,7","7.5",",,,7","19.4",",7","28.3",",,,7","10.5",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-02",,,"0","7","0",",7","10",",7","8",",7","19",",7","5",",7","8",",7","27",",7","15",",7","0",",7","0",",7","-11",",7,05,","10",",,7,09,","5.7",",,7,09,","1.14",",,7,20,","57",",7,28,","5329","7","1222",",7","2.99",",,,7","14.9",",,,7","21.3",",7","30.3",",,,7","12.4",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-03",,,"0","7","0","1,7","4",",7","3",",7","5",",7","1",",7","0","1,7","29","1,7","1",",7","0",",7","0",",7","13","1,7,09,+","3",",,7,07,+","3.2",",,7,06,","0.34",",,7,27,+","57",",7,19,","6260","7","931",",7","0.83",",,,7","3.6",",,,7","33.8","1,7","44.1",",,,7","23.5","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-04",,,"0","7","0",",7","8",",7","5",",7","5",",7","3",",7","0",",7","22",",7","1",",7","2",",7","0",",7","13",",7,08,","3",",,7,19,","3.1",",,7,19,","0.67",",,7,14,","74",",7,25,","7084","7","824",",7","2.60",",,,7","7.3",",,,7","37.5",",7","47.9",",,,7","27.1",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-05",,,"103","7","103","2,7","19",",7","12",",7","0",",7","0",",7","0","2,7","0","2,7","0","2,7","24","2,7","4","2,7","35","2,7,11,","0",",,7,31,+","0.0",",,7,31,+","1.66",",,7,20,","95","2,7,28,","7182","7","98","2,7","9.59",",,,7","0.0",",,,7","65.2","2,7","76.5","2,,,7","53.9","2,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-06",,,"241","7","137",",7","19",",7","10",",7",,,,,"0",",7","0",",7","0",",7","26",",7","2",",7","49",",7,06,+",,,,,"4.88",",,7,16,","91",",7,30,","7205","7","23",",7","11.04",",,,7",,,"68.8",",7","77.3",",,,7","60.3",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-07",,,"430","7","189","2,7","10","2,7","7","2,7","0",",7","0",",7","0","2,7","0","2,7","0","2,7","29","2,7","2","2,7","49","2,7,07,","0",",,7,31,+","0.0",",,7,31,+","1.10","2,,7,20,","91","2,7,01,","4","7","4","2,7","3.72","2,,,7","0.0",",,,7","71.4","2,7","82.2","2,,,7","60.6","2,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-08",,,"634","7","204",",7","15",",7","8",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","0",",7","52",",7,30,+","0",",,7,31,+","0.0",",,7,31,+","6.01",",,7,21,","88",",7,13,","9","7","5",",7","11.39",",,,7","0.0",",,,7","71.4",",7","81.1",",,,7","61.7",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-09",,,"730","7","96",",7","15",",7","12",",7","0",",7","0",",7","0",",7","0",",7","0",",7","21",",7","1",",7","33",",7,29,","0",",,7,30,+","0.0",",,7,30,+","1.66",",,7,06,","90",",7,18,","121","7","112",",7","7.77",",,,7","0.0",",,,7","64.5",",7","75.3",",,,7","53.6",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-10",,,"745","7","15",",7","18","1,7","9","1,7","0",",7","0",",7","0",",7","10",",7","0",",7","3",",7","0",",7","22",",7,21,","0",",,7,31,+","0.0",",T,7,21,","1.26","1,,7,02,","84",",7,04,","645","7","524",",7","6.16","1,,,7","0.0",",T,,7","48.6",",7","58.2",",,,7","39.0",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-11",,,"745","7","0",",7","10",",7","5",",7","4",",7","2",",7","0",",7","27",",7","10",",7","0",",7","0",",7","11",",7,14,","1",",,7,29,+","1.1",",,7,09,","0.62",",,7,06,","61",",7,01,","1651","7","1006",",7","1.98",",,,7","3.4",",,,7","31.5",",7","38.3",",,,7","24.6",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2018-12",,,"745","7","0","1,7","6","1,7","2","1,7","3",",7","1",",7","0","1,7","27","1,7","8",",7","0",",7","0",",7","11","1,7,10,+","1",",,Z,30,+","1.0",",,7,25,","0.73","1,,7,02,","54",",7,17,","2733","7","1082",",7","1.44","1,,,7","2.0",",,,7","28.8","1,7","36.0",",,,7","21.5","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2019-01",,,"0","7","0","4,7","8",",7","5",",7","18",",7","4",",7","9","2,7","28","2,7","23","2,7","0","2,7","0","2,7","-29","2,7,31,","12",",,7,31,+","8.3",",,7,23,","0.77",",,7,07,","55","2,7,06,","4016","7","1283","2,7","2.47",",,,7","25.6",",,,7","17.3","4,7","25.5","2,,,7","9.1","2,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2019-02",,,"0","7","0","1,7","16","1,7","11","1,7","24","1,7","5","1,7","5","1,7","26","1,7","20","1,7","0","1,7","0","1,7","-5","1,7,19,","12","1,,7,02,","4.8","1,,7,12,","0.53","1,,7,12,","44","1,7,05,+","5230","7","1214","1,7","3.12","1,,,7","16.4","1,,,7","20.0","1,7","28.5","1,,,7","11.6","1,,,7",,,,,,,,
